party,pollster,n_polls,mean_pp,q05_pp,q95_pp
JUNTS,Ipsos,4,-0.08685496951357673,-0.2758064393113787,0.0977134183021158
JUNTS,KeyData,23,0.02689619415998482,-0.09896896901706034,0.15493637424431186
JUNTS,More in Common,3,0.0,0.0,0.0
JUNTS,NC Report,22,0.18784173316789077,0.06422832571024269,0.31220351264787755
JUNTS,ODEC,1,0.03980420496896154,-0.1829809085571359,0.2656197012182233
JUNTS,Opina 360,2,-0.05187175473028947,-0.29037956011809185,0.1713252337579334
JUNTS,Sigma Dos,35,-0.09300437025379138,-0.17462232842229988,-0.011170466591074653
JUNTS,Simple Lógica,14,0.0,0.0,0.0
JUNTS,SocioMétrica,31,0.205573628433533,0.10898933120502827,0.30708536927752145
JUNTS,Sondaxe,2,-0.15546839440409996,-0.43001716010000224,0.08145509708536611
JUNTS,Sumar,1,0.0,0.0,0.0
JUNTS,Target Point,24,0.0,0.0,0.0
BILDU,40dB,33,0.0,0.0,0.0
BILDU,Ateneo del Dato,2,0.0,0.0,0.0
BILDU,CIS,35,-0.20855904198545291,-0.29641571185652277,-0.12132094306537335
BILDU,Celeste-Tel,12,0.03024187398874697,-0.09324534524265833,0.1550424684750388
BILDU,Cluster17,2,-0.10136856325951656,-0.29918713224254756,0.07987650821669985
BILDU,DYM,18,0.0,0.0,0.0
BILDU,Data10,3,-0.026384916961644283,-0.18968668430155627,0.13794988997720412
BILDU,Demoscopia y Servicios,1,0.0018441635797887155,-0.18684307626814486,0.19231364688852248
BILDU,EM-Analytics,163,0.10996127952996694,0.05445447166903115,0.1646600295846897
BILDU,GAD3,11,0.007825609386183475,-0.1383565917154576,0.15379923735858653
BILDU,GESOP,10,0.0,0.0,0.0
BILDU,Hamalgama Métrica,20,0.018415255765026162,-0.09126196928084554,0.12837616712242983
BILDU,InvyMark,18,-0.026074729252664026,-0.209678468086102,0.15391131155654852
BILDU,Ipsos,4,0.06404399826278491,-0.09493786970605649,0.22864783954211287
BILDU,KeyData,23,0.035271981848775724,-0.07201756769876926,0.14677057707922128
BILDU,More in Common,3,0.0,0.0,0.0
BILDU,NC Report,22,0.06420971916712016,-0.04708552937399122,0.17363038224116809
BILDU,ODEC,1,0.04895392433941966,-0.1348326108382258,0.24922374240718945
BILDU,Opina 360,2,-0.06690701460665947,-0.26563085048743806,0.11619919554577793
BILDU,Sigma Dos,35,-0.11242634086786407,-0.18540706383527786,-0.03862849084389876
BILDU,Simple Lógica,14,0.0,0.0,0.0
BILDU,SocioMétrica,31,0.1789363755862542,0.09269334563493113,0.2681242854422778
BILDU,Sondaxe,2,-0.017983574520265583,-0.20469587443025244,0.1658154367702411
BILDU,Sumar,1,0.0,0.0,0.0
BILDU,Target Point,24,0.0,0.0,0.0
PNV,40dB,33,0.0,0.0,0.0
PNV,Ateneo del Dato,2,0.0,0.0,0.0
PNV,CIS,35,-0.15231520587515793,-0.22754686236681165,-0.07760123912730507
PNV,Celeste-Tel,12,0.0736011593288641,-0.05167394692906555,0.2001133401143374
PNV,Cluster17,2,0.02657389665948664,-0.13853723384868308,0.20013193676815916
PNV,DYM,18,0.0,0.0,0.0
PNV,Data10,3,-0.09266508629494827,-0.28127592996162737,0.08309465484489212
PNV,Demoscopia y Servicios,1,-0.07619266001784415,-0.2538745558906903,0.09437350843506995
PNV,EM-Analytics,163,0.2598165072262542,0.2071833904571501,0.3135003750505753
PNV,GAD3,11,-0.018610726669342516,-0.1548977064711779,0.11336313453558404
PNV,GESOP,10,0.0,0.0,0.0
PNV,Hamalgama Métrica,20,0.05164057543558755,-0.055803011786668806,0.16186138621198753
PNV,InvyMark,18,-0.04348531634213212,-0.21962877650733492,0.1313092646249295
PNV,Ipsos,4,0.0672507656197625,-0.07916108257244911,0.22418082912277032
PNV,KeyData,23,0.034255630008299384,-0.06942039604791324,0.13884643280955547
PNV,More in Common,3,0.0,0.0,0.0
PNV,NC Report,22,0.04303335104852213,-0.052936431328292295,0.1427728652124579
