date,party,mean,q05,q25,q50,q75,q95,cutoff_date
2023-10-19,ERC,0.017328477645903888,0.016589093191054637,0.017037697963711868,0.017334826645604394,0.017624686312205547,0.01804627860432514,2026-09-18
2023-10-20,ERC,0.017328867660602095,0.01659129180956764,0.017034822292495505,0.017335041274417637,0.017625193931400888,0.01804630836202007,2026-09-18
2023-10-21,ERC,0.0173292576753003,0.01657952718746346,0.01703581378150687,0.01733784323253641,0.017626092804856927,0.018050709023438,2026-09-18
2023-10-22,ERC,0.017329647689998506,0.016580806243605462,0.017032080946409556,0.017337266452350786,0.0176273290330043,0.018058065801814904,2026-09-18
2023-10-23,ERC,0.017332977160294874,0.016583186471864318,0.017038627760842338,0.017337589278240022,0.017625619714651,0.018062632622670854,2026-09-18
2023-10-24,ERC,0.017336306630591238,0.016594841096423944,0.01704340886899194,0.017340020462225044,0.017628904133469146,0.018066746705790327,2026-09-18
2023-10-25,ERC,0.017339636100887606,0.016590855807123103,0.01704626137983498,0.017342185312981262,0.0176311513171636,0.018063418658242764,2026-09-18
2023-10-26,ERC,0.017342965571183977,0.016603532449294023,0.017052196304140635,0.017346614272797226,0.017635323748964687,0.018060459051626076,2026-09-18
2023-10-27,ERC,0.01734629504148034,0.016606845231947723,0.017057102475044172,0.017347283524819637,0.017638510620556883,0.01806937107888963,2026-09-18
2023-10-28,ERC,0.01734962451177671,0.016616858263747408,0.017058632147617686,0.017349080510881305,0.017643727300453146,0.018077391378841685,2026-09-18
2023-10-29,ERC,0.01735295398207308,0.016618838701885703,0.017059173683111516,0.01735061618114439,0.017651200295103982,0.018084387997888713,2026-09-18
2023-10-30,ERC,0.01735585771633535,0.016618860339138716,0.017059619223066806,0.017352924772536443,0.017648124841595367,0.018084789543316,2026-09-18
2023-10-31,ERC,0.017358761450597622,0.016628279488827964,0.01706554537798279,0.017358489653044852,0.017647536182376074,0.018090196423271185,2026-09-18
2023-11-01,ERC,0.017361665184859897,0.016632627617722627,0.017065576235868823,0.017360792235342502,0.017650674755523975,0.01809303106055866,2026-09-18
2023-11-02,ERC,0.017364568919122164,0.016632297598946928,0.017071044835741,0.01736464291671054,0.017651454602102157,0.018099387090268936,2026-09-18
2023-11-03,ERC,0.017367472653384435,0.016631108939088205,0.0170704858111073,0.017362936277577734,0.017660395237851977,0.018111153320153315,2026-09-18
2023-11-04,ERC,0.017370376387646706,0.01662395118088083,0.017074562914622456,0.017362508563696467,0.017664364680262095,0.018115618675070944,2026-09-18
2023-11-05,ERC,0.017373280121908977,0.016620481862405764,0.017075615249714404,0.01736705823035855,0.01767120745389011,0.018119760164571713,2026-09-18
2023-11-06,ERC,0.01737423949104308,0.016632962941086488,0.017078210452808995,0.017370482648838968,0.01766941704051123,0.01812353166617906,2026-09-18
2023-11-07,ERC,0.017375198860177177,0.016639338274243645,0.01708135111884846,0.01736941325386588,0.017667830312240694,0.018118861918846464,2026-09-18
2023-11-08,ERC,0.01737615822931128,0.016643420950099953,0.01708099427945945,0.017367292064231155,0.01766661306999292,0.0181211161750042,2026-09-18
2023-11-09,ERC,0.01737711759844538,0.01664232522942642,0.01708247055948227,0.017370240026585906,0.017669930041712,0.018126742156991976,2026-09-18
2023-11-10,ERC,0.01737807696757948,0.016641779178638523,0.017086165381384737,0.017374108286049968,0.017669070702813875,0.018123981853715186,2026-09-18
2023-11-11,ERC,0.017379036336713578,0.016643690889320818,0.017083316626973943,0.017374401760222504,0.017672299666820563,0.018124562772609175,2026-09-18
2023-11-12,ERC,0.017379995705847678,0.01663838562779967,0.017081958311723107,0.017377417643695457,0.017673604773013836,0.01813196262127732,2026-09-18
2023-11-13,ERC,0.017380111508264514,0.016645837645299515,0.017083609532880836,0.017376472171622963,0.017667716105655065,0.01812281673654674,2026-09-18
2023-11-14,ERC,0.017380227310681343,0.01664962206352462,0.017085660537663482,0.017375921949991744,0.017665849853841738,0.018121759058256595,2026-09-18
2023-11-15,ERC,0.01738034311309817,0.01664945426839132,0.01708848140810537,0.017374771559240294,0.017668311269559374,0.01811833856566363,2026-09-18
2023-11-16,ERC,0.017380458915515,0.016651522750526167,0.017087024434274095,0.017375074016778617,0.01766794134547181,0.018109074604462774,2026-09-18
2023-11-17,ERC,0.017380574717931828,0.016654344990652124,0.017085209525670112,0.01737483389684076,0.017668898998776043,0.01811593142882594,2026-09-18
2023-11-18,ERC,0.01738069052034866,0.016647117001157712,0.017082086964801003,0.017371922616610955,0.017667770071936928,0.018121580281084605,2026-09-18
2023-11-19,ERC,0.01738080632276549,0.016642005533352502,0.017083776543966592,0.017369200096943652,0.01766887864985335,0.018130131990816603,2026-09-18
2023-11-20,ERC,0.017383073091940076,0.01665515980563125,0.017086103426228436,0.017372570732462435,0.017671967441637036,0.01812235755364614,2026-09-18
2023-11-21,ERC,0.01738533986111466,0.016655259618133897,0.0170910183508563,0.01737448042696325,0.017671378166145505,0.018123229210217626,2026-09-18
2023-11-22,ERC,0.017387606630289244,0.01666500425044192,0.01709583572590824,0.017376186349535784,0.017670229166661635,0.018118217947301386,2026-09-18
2023-11-23,ERC,0.01738987339946383,0.016670034010984804,0.01709721304326527,0.017379265139979228,0.017671038737491415,0.018125754997007002,2026-09-18
2023-11-24,ERC,0.017392140168638413,0.016666578317470218,0.01709559213447147,0.017380137491256973,0.01767288012461652,0.0181423310480435,2026-09-18
2023-11-25,ERC,0.017394406937812995,0.016662645808765905,0.01709188524263632,0.017383337663033488,0.017679138228702766,0.018154381341409113,2026-09-18
2023-11-26,ERC,0.017396673706987578,0.016661451990408926,0.017092065640745075,0.017386205035152237,0.017680698367861434,0.01816184667570608,2026-09-18
2023-11-27,ERC,0.017396459427109844,0.016665280482243257,0.017095132704951603,0.017385441039982116,0.017675034038847945,0.018151901006332696,2026-09-18
2023-11-28,ERC,0.0173962451472321,0.016686100510675893,0.017096912634650775,0.017387195287932186,0.017672739695153983,0.018148501603528086,2026-09-18
2023-11-29,ERC,0.017396030867354365,0.016682797752555618,0.01709614667474779,0.01738734786176111,0.017674757032931414,0.018144182246730332,2026-09-18
2023-11-30,ERC,0.017395816587476628,0.016680233475117604,0.017094818799923417,0.017387331297484113,0.017674671017871475,0.018142044687255585,2026-09-18
2023-12-01,ERC,0.017395602307598894,0.01668080231146917,0.017097763675649254,0.017382722924672137,0.017678123921593167,0.018136413227060843,2026-09-18
2023-12-02,ERC,0.01739538802772115,0.01667755780370983,0.017093111952787513,0.017380783462431545,0.01768075046178734,0.018135346834603442,2026-09-18
2023-12-03,ERC,0.017395173747843416,0.016669352539082617,0.017088870121345974,0.017380044961372552,0.017680792683557572,0.01814120332186224,2026-09-18
2023-12-04,ERC,0.017395155324987654,0.016676230782493986,0.01709414095192207,0.017381189129131086,0.01768222078114688,0.018143310650276558,2026-09-18
2023-12-05,ERC,0.017395136902131896,0.016675184173618116,0.017096711535806976,0.017381895395447176,0.01768179562847759,0.018143090164374234,2026-09-18
2023-12-06,ERC,0.017395118479276134,0.016677357324067218,0.017098350476641613,0.017381091434027354,0.01768201757960188,0.018141050381332315,2026-09-18
