election,prov,enp_votes,periph_share,province
198210,09,2.9081231530651714,0.0,Burgos
198210,10,2.7854763398813382,0.0,Cáceres
198210,11,2.1955123324465724,0.0,Cádiz
198210,12,2.8787877764951193,0.0,Castellón
198210,13,2.588671390218763,0.0,Ciudad Real
198210,14,2.527244668977231,0.0,Córdoba
198210,15,3.354298436757167,0.0,La Coruña
198210,16,3.0130990638886153,0.0,Cuenca
198210,17,3.6754404077747322,0.41879767048656774,Gerona
198210,18,2.471871828873507,0.0,Granada
198210,19,3.1862787481214214,0.0,Guadalajara
198210,20,4.348612838436407,0.6207836492142359,Guipúzcoa
198210,21,2.196062347969687,0.0,Huelva
198210,22,3.0185700507654722,0.0,Huesca
198210,23,2.5330671574708945,0.0,Jaén
198210,24,3.0209032158245126,0.0,León
198210,25,4.188379366169368,0.3394118646269447,Lérida
198210,26,2.675307078019544,0.0,Logroño
198210,27,3.0326703510406,0.0,Lugo
198210,28,2.5986885668722453,0.0,Madrid
198210,29,2.2372390526169674,0.0,Málaga
198210,30,2.5437564343110872,0.0,Murcia
198210,31,4.159133176131641,0.20094824500381595,Navarra
198210,32,3.382228879911994,0.0,Orense
198210,33,2.7452365158101144,0.0,Oviedo
198210,34,2.8370361600195935,0.0,Palencia
198210,35,4.015369081301412,0.0,Las Palmas
198210,36,3.592431383697709,0.0,Pontevedra
198210,37,3.0521443917712605,0.0,Salamanca
198210,38,3.5629109837892123,0.0,Santa Cruz de Tenerife
198210,39,2.7399133994949056,0.0,Santander
198210,40,3.234758381176263,0.0,Segovia
198210,41,2.2554101480696773,0.0,Sevilla
198210,42,3.235300832619012,0.0,Soria
198210,43,3.824052265638866,0.24832036466089194,Tarragona
198210,44,3.180288331805873,0.0,Teruel
198210,45,2.8642464689072376,0.0,Toledo
198210,46,2.622885735531662,0.0,Valencia
198210,47,2.660997242153166,0.0,Valladolid
198210,48,4.195309676725578,0.5330675748428738,Vizcaya
198210,49,3.303015053370859,0.0,Zamora
198210,50,2.6664594519660607,0.0,Zaragoza
198210,51,3.14594912695029,0.0,Ceuta
198210,52,2.9200922538154703,0.0,Melilla
198606,01,4.9226272230444845,0.39498878857614916,Álava
198606,02,2.64544738899777,0.0,Albacete
198606,03,2.8661615626962904,0.0028121777056975728,Alicante
198606,04,2.72527149323479,0.0,Almería
198606,05,3.110485391634461,0.0,Ávila
198606,06,2.4344122030406816,0.0,Badajoz
198606,07,3.2266707620924557,0.0,Baleares
198606,08,3.348425842254534,0.29975513294840506,Barcelona
198606,09,3.0811344217111665,0.0,Burgos
198606,10,2.6121699531585967,0.0,Cáceres
198606,11,2.355783616895517,0.0,Cádiz
198606,12,2.907035081935842,0.00526884362337323,Castellón
198606,13,2.6041957903773802,0.0,Ciudad Real
198606,14,2.7778862141158105,0.0,Córdoba
198606,15,3.257048520033665,0.03665511741736787,La Coruña
198606,16,2.6931278506929637,0.0,Cuenca
198606,17,3.0443892282716036,0.4608980294374157,Gerona
198606,18,2.7291162583217017,0.0,Granada
198606,19,2.9300288864751827,0.0,Guadalajara
198606,20,4.751907839019776,0.6273320504101978,Guipúzcoa
198606,21,2.2455298883869106,0.0,Huelva
198606,22,3.3986939963246265,0.09839295404265977,Huesca
198606,23,2.5603073452739906,0.0,Jaén
198606,24,2.8939125653466258,0.0,León
198606,25,3.411146866062965,0.4087525532228516,Lérida
198606,26,2.7360447694836836,0.0,Logroño
198606,27,3.0436324071565033,0.10642589568725387,Lugo
198606,28,3.3165949593070208,0.0,Madrid
198606,29,2.528209782532734,0.0,Málaga
198606,30,2.70051234655857,0.0,Murcia
198606,31,3.9923270748421533,0.1870211507173495,Navarra
198606,32,3.4195901741305366,0.13871101727181476,Orense
198606,33,3.1596396211509044,0.0,Oviedo
198606,34,2.924329457334196,0.0,Palencia
198606,35,4.066822150633664,0.019913469692831785,Las Palmas
198606,36,3.2672847468864776,0.042772548128685584,Pontevedra
198606,37,3.121313174768917,0.0,Salamanca
198606,38,4.010082531607456,0.1844419044269574,Santa Cruz de Tenerife
198606,39,2.9580264492738206,0.0,Santander
198606,40,3.3093442008204,0.0,Segovia
198606,41,2.4269323258398745,0.0,Sevilla
198606,42,2.9843301194666556,0.0,Soria
198606,43,3.5862636998051154,0.3193468218338621,Tarragona
198606,44,3.293827397290928,0.097325150532654,Teruel
198606,45,2.8078931873342037,0.0,Toledo
198606,46,3.184313999314577,0.051474820053217366,Valencia
198606,47,3.183450976775512,0.0,Valladolid
198606,48,4.872067871737105,0.538352025198673,Vizcaya
198606,49,2.954641057060048,0.0,Zamora
198606,50,3.492647675122064,0.1170539800746922,Zaragoza
198606,51,2.8223266648223846,0.0,Ceuta
198606,52,2.7554193014438897,0.0,Melilla
198910,01,6.54266585110659,0.4592834114352972,Álava
198910,02,2.7812525648041855,0.0,Albacete
198910,03,3.291588245198311,0.0059933800393202055,Alicante
